,18,Adjusted Protein,Alanine,"Alcohol, ethyl",Arginine,Ash,Aspartic acid,Beta-sitosterol,Betaine,Butanoic acid,Caffeine,"Calcium, Ca",Calories,Campesterol,Carbohydrate,"Carotene, alpha","Carotene, beta",Cholesterol,Choline,"Cis,cis,cis-octadecatrienoic n-3 acid","Cis,cis,cis-octadecatrienoic n-6 acid","Cis,cis-eicosadienoic n-6 acid","Cis,cis-octadecadienoic n-6 acid",Cis-hexadecenoic acid,Cis-octadecenoic acid,"Copper, Cu","Cryptoxanthin, beta",Cystine,Decanoic acid,Dihydrophylloquinone,Docosahexaenoic n-3 acid,Docosanoic acid,Docosapentaenoic n-3 acid,Docosatetraenoic acid,Docosenoic acid,Docosenoic cis acid,Docosenoic trans acid,Dodecanoic acid,Eicosadienoic acid,Eicosadienoic n-3 acid,Eicosadienoic n-6 acid,Eicosanoic acid,Eicosapentaenoic n-3 acid,Eicosatetraenoic acid,Eicosenoic acid,Fat,"Fatty acids, total trans","Fatty acids, total trans-monoenoic","Fatty acids, total trans-polyenoic",Fiber,"Fluoride, F",Folate,Folic acid,Fructose,Galactose,Glucose (dextrose),Glutamic acid,Glycine,Heptadecanoic acid,Heptadecenoic acid,Hexadecanoic acid,Hexadecenoic acid,Hexanoic acid,Histidine,Hydroxyproline,Irans-Octadecadienoic acid,"Iron, Fe",Isoleucine,Lactose,Leucine,Lutein + zeaxanthin,Lycopene,Lysine,"Magnesium, Mg",Maltose,"Manganese, Mn",Menaquinone-4,Methionine,Monounsaturated fatty acids,Niacin,Octadecadienoic CLAs acid,Octadecadienoic acid,Octadecanoic acid,Octadecatetraenoic acid,Octadecatrienoic acid,Octadecenoic acid,Octanoic acid,Pantothenic acid,Pentadecanoic acid,Pentadecenoic acid,Phenylalanine,"Phosphorus, P",Phytosterols,Polyunsaturated fatty acids,"Potassium, K",Proline,Protein,Riboflavin,Saturated fatty acids,"Selenium, Se",Serine,Serving Size,"Sodium, Na",Starch,Stigmasterol,Sucrose,Sugars,Tetracosanoic acid,Tetracosenoic cis acid,Tetradecanoic acid,Tetradecenoic acid,Theobromine,Thiamin,Threonine,"Tocopherol, alpha","Tocopherol, beta","Tocopherol, delta","Tocopherol, gamma","Tocotrienol, alpha","Tocotrienol, beta","Tocotrienol, delta","Tocotrienol, gamma","Trans,trans-octadecadienoic acid",Trans-hexadecenoic acid,Trans-octadecadienoic acid,Trans-octadecatrienoic acid,Trans-octadecenoic acid,Tridecanoic acid,Tryptophan,Tyrosine,Uncosapentaenoic acid,Valine,Vitamin A,"Vitamin A, RAE",Vitamin B12,Vitamin B6,Vitamin C,Vitamin D,Vitamin D2 (ergocalciferol),Vitamin D3 (cholecalciferol),Vitamin E,Vitamin K,Water,"Zinc, Zn"
"Spices, bay leaf",,,,0.0 g,,3.62 g,,,,0.000 g,,834.00 mg,313,,74.97 g,,,0.00 mg,,,,,,,,0.416 mg,,,0.010 g,,0.000 g,,0.000 g,,0.000 g,,,0.530 g,,,,,0.000 g,0.000 g,0.000 g,8.36 g,0.000 g,,,26.3 g,,180.00 mcg,0.00 mcg,,,,,,,,1.270 g,0.140 g,0.000 g,,,,43.00 mg,,,,,,,120.00 mg,,8.167 mg,,,1.640 g,2.005 mg,,1.240 g,0.160 g,0.000 g,1.050 g,1.500 g,0.010 g,,,,,113.00 mg,,2.290 g,529.00 mg,,7.61 g,0.421 mg,2.280 g,2.8 mcg,,100 g,23.00 mg,,,,,,,0.210 g,,,0.009 mg,,,,,,,,,,,,,,,,,,,,6185.00 IU,309.00 mcg,0.00 mcg,1.740 mg,46.5 mg,0.00 IU,,,,,5.44 g,3.70 mg
"Spices, dill seed",,,,0.0 g,1.263 g,6.62 g,,,,0.000 g,0.00 mg,1516.00 mg,305,,55.17 g,,,0.00 mg,,,,,,,,0.780 mg,,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.010 g,,,,,0.000 g,0.000 g,0.000 g,14.54 g,,,,21.1 g,,10.00 mcg,0.00 mcg,,,,,,,,0.580 g,0.050 g,0.000 g,0.320 g,,,16.33 mg,0.767 g,,0.925 g,,,1.038 g,256.00 mg,,1.833 mg,,0.143 g,9.410 g,2.807 mg,,0.960 g,0.100 g,0.000 g,0.150 g,9.360 g,0.000 g,,,,0.670 g,277.00 mg,124.00 mg,1.010 g,1186.00 mg,,15.98 g,0.284 mg,0.730 g,12.1 mcg,,100 g,20.00 mg,,,,,,,0.010 g,,0.00 mg,0.418 mg,0.575 g,,,,,,,,,,,,,,,,,,1.120 g,53.00 IU,3.00 mcg,0.00 mcg,0.250 mg,21.0 mg,0.00 IU,,,,,7.70 g,5.20 mg
"Spices, dried, basil",,,1.180 g,0.0 g,1.230 g,14.85 g,3.020 g,,16.1 mg,0.000 g,0.00 mg,2240.00 mg,233,,47.75 g,113.00 mcg,378.00 mcg,0.00 mg,54.9 mg,0.296 g,0.004 g,0.000 g,,,1.067 g,2.100 mg,24.00 mcg,0.190 g,0.000 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,0.000 g,,,0.000 g,0.000 g,0.000 g,0.000 g,4.07 g,0.000 g,0.000 g,,37.7 g,,310.00 mcg,0.00 mcg,0.75 g,0.19 g,0.75 g,2.570 g,1.250 g,0.000 g,0.000 g,1.036 g,0.171 g,0.000 g,0.450 g,0.000 g,,89.80 mg,1.060 g,0.00 g,1.850 g,1150.00 mcg,393.00 mcg,1.150 g,711.00 mg,0.00 g,9.800 mg,,0.320 g,1.238 g,4.900 mg,,0.199 g,1.075 g,0.000 g,0.300 g,1.067 g,0.000 g,0.838 mg,0.000 g,0.000 g,1.250 g,274.00 mg,106.00 mg,0.498 g,2630.00 mg,2.700 g,22.98 g,1.200 mg,2.157 g,3.0 mcg,0.530 g,100 g,76.00 mg,,,0.02 g,1.71 g,0.000 g,0.000 g,0.046 g,0.000 g,0.00 mg,0.080 mg,0.760 g,10.70 mg,0.00 mg,0.00 mg,0.77 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,0.000 g,0.000 g,0.260 g,0.750 g,,1.450 g,744.00 IU,37.00 mcg,0.00 mcg,1.340 mg,0.8 mg,0.00 IU,,,10.70 mg,1714.5 mcg,10.35 g,7.10 mg
"Spices, dried, dill weed",,,,,,12.56 g,,,,,,1784.00 mg,253,,55.82 g,,,0.00 mg,,,,,,,,0.490 mg,,,,,,,,,,,,,,,,,,,,4.36 g,0.000 g,,,13.6 g,,,,,,,,,,,,,,,,,48.78 mg,,,,,,,451.00 mg,,3.950 mg,,,,2.807 mg,,,,,,,,,,,,543.00 mg,,,3308.00 mg,,19.96 g,0.284 mg,0.234 g,,,100 g,208.00 mg,,,,,,,,,,0.418 mg,,,,,,,,,,,,,,,,,,,,5850.00 IU,293.00 mcg,0.00 mcg,1.710 mg,50.0 mg,0.00 IU,,,,,7.30 g,3.30 mg
"Spices, dried, parsley",,,1.778 g,0.0 g,1.756 g,11.36 g,3.169 g,,1.7 mg,0.000 g,0.00 mg,1140.00 mg,292,,50.64 g,17.00 mcg,1152.00 mcg,0.00 mg,97.1 mg,1.860 g,0.016 g,0.000 g,1.248 g,0.000 g,0.761 g,0.780 mg,4.00 mcg,0.298 g,0.000 g,0.0 mcg,0.000 g,0.028 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.000 g,0.005 g,0.000 g,0.000 g,0.000 g,5.48 g,0.000 g,0.000 g,,26.7 g,,180.00 mcg,0.00 mcg,0.42 g,0.00 g,2.76 g,3.688 g,1.756 g,0.000 g,0.000 g,1.223 g,0.000 g,0.000 g,0.718 g,0.000 g,,22.04 mg,1.546 g,0.00 g,2.794 g,2428.00 mcg,0.00 mcg,2.098 g,400.00 mg,0.00 g,9.810 mg,,0.596 g,0.761 g,9.943 mg,0.000 g,1.248 g,0.058 g,0.000 g,1.876 g,0.761 g,0.000 g,1.062 mg,0.000 g,0.000 g,1.712 g,436.00 mg,,3.124 g,2683.00 mg,2.010 g,26.63 g,2.383 mg,1.378 g,14.1 mcg,1.159 g,100 g,452.00 mg,,,4.09 g,7.27 g,0.063 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.196 mg,1.193 g,8.96 mg,0.02 mg,0.00 mg,1.53 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,0.000 g,,,0.000 g,0.000 g,0.475 g,1.159 g,,2.021 g,1939.00 IU,97.00 mcg,0.00 mcg,0.900 mg,125.0 mg,0.00 IU,,,8.96 mg,1359.5 mcg,5.89 g,5.44 mg
"Spices, dried, rosemary",,,,0.0 g,,6.53 g,,,,0.000 g,,1280.00 mg,331,,64.06 g,,,0.00 mg,,,,,,,,0.550 mg,,,0.050 g,,0.000 g,0.387 g,0.000 g,,0.000 g,,,0.037 g,,,,0.379 g,0.000 g,0.000 g,0.125 g,15.22 g,,,,42.6 g,,307.00 mcg,0.00 mcg,,,,,,0.094 g,,4.991 g,0.170 g,0.000 g,,,,29.25 mg,,,,,,,220.00 mg,,1.867 mg,,,3.014 g,1.000 mg,,1.160 g,0.600 g,0.000 g,1.076 g,2.660 g,0.000 g,,0.131 g,,,70.00 mg,58.00 mg,2.339 g,955.00 mg,,4.88 g,0.428 mg,7.371 g,4.6 mcg,,100 g,50.00 mg,,,,,0.294 g,,0.315 g,0.059 g,,0.514 mg,,,,,,,,,,,,,,,,,,,,3128.00 IU,156.00 mcg,0.00 mcg,1.740 mg,61.2 mg,0.00 IU,,,,,9.31 g,3.23 mg
"Spices, dried, thyme",,,,0.0 g,,11.74 g,,,,0.000 g,0.00 mg,1890.00 mg,276,,63.94 g,0.00 mcg,2264.00 mcg,0.00 mg,43.6 mg,,,,,,,0.860 mg,33.00 mcg,,0.120 g,,0.000 g,,0.000 g,,0.000 g,,,0.230 g,,,,,0.000 g,0.000 g,0.000 g,7.43 g,0.000 g,,,37.0 g,,274.00 mcg,0.00 mcg,,,,,,,,1.720 g,0.000 g,0.000 g,,,,123.60 mg,0.468 g,,0.430 g,1895.00 mcg,0.00 mcg,0.207 g,220.00 mg,,7.867 mg,,,0.470 g,4.940 mg,,0.500 g,0.280 g,0.000 g,0.690 g,0.470 g,0.240 g,,,,,201.00 mg,163.00 mg,1.190 g,814.00 mg,,9.11 g,0.399 mg,2.730 g,4.6 mcg,,100 g,55.00 mg,,,,1.71 g,,,0.150 g,,0.00 mg,0.513 mg,0.252 g,7.48 mg,,,,,,,,,,,,,,0.186 g,,,0.502 g,3800.00 IU,190.00 mcg,0.00 mcg,0.550 mg,50.0 mg,0.00 IU,,,7.48 mg,1714.5 mcg,7.79 g,6.18 mg
"Spices, garlic powder",,,0.485 g,0.0 g,3.365 g,3.54 g,1.890 g,,6.1 mg,0.000 g,0.00 mg,79.00 mg,331,,72.73 g,0.00 mcg,0.00 mcg,0.00 mg,67.5 mg,0.012 g,0.000 g,0.022 g,,,0.106 g,0.533 mg,0.00 mcg,0.253 g,0.000 g,0.0 mcg,0.000 g,0.028 g,0.000 g,,0.000 g,,,0.000 g,0.000 g,,,0.000 g,0.000 g,0.000 g,0.000 g,0.73 g,0.000 g,0.000 g,,9.0 g,,47.00 mcg,0.00 mcg,0.31 g,0.00 g,0.07 g,3.658 g,0.525 g,0.000 g,0.000 g,0.101 g,0.000 g,0.000 g,0.263 g,0.000 g,,5.65 mg,0.414 g,0.00 g,0.728 g,0.00 mcg,0.00 mcg,0.768 g,77.00 mg,0.00 g,0.979 mg,,0.111 g,0.115 g,0.796 mg,,0.143 g,0.105 g,0.000 g,0.012 g,0.106 g,0.000 g,0.743 mg,0.000 g,0.000 g,0.525 g,414.00 mg,8.00 mg,0.178 g,1193.00 mg,1.354 g,16.55 g,0.141 mg,0.249 g,23.9 mcg,0.505 g,100 g,60.00 mg,,,2.05 g,2.43 g,0.000 g,0.009 g,0.015 g,0.000 g,0.00 mg,0.435 mg,0.374 g,0.67 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,0.000 g,0.000 g,0.121 g,0.445 g,,0.667 g,0.00 IU,0.00 mcg,0.00 mcg,1.654 mg,1.2 mg,0.00 IU,,,0.67 mg,0.4 mcg,6.45 g,2.99 mg
"Spices, ground, cinnamon",,,0.166 g,0.0 g,0.166 g,3.60 g,0.438 g,,3.9 mg,0.000 g,0.00 mg,1002.00 mg,247,,80.59 g,1.00 mcg,112.00 mcg,0.00 mg,11.0 mg,0.011 g,0.000 g,0.000 g,,,0.246 g,0.339 mg,129.00 mcg,0.058 g,0.003 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.006 g,0.000 g,,,0.000 g,0.000 g,0.000 g,0.000 g,1.24 g,0.000 g,0.000 g,,53.1 g,,6.00 mcg,0.00 mcg,1.11 g,0.00 g,1.04 g,0.370 g,0.195 g,0.136 g,0.000 g,0.104 g,0.001 g,0.000 g,0.117 g,0.000 g,,8.32 mg,0.146 g,0.00 g,0.253 g,222.00 mcg,15.00 mcg,0.243 g,60.00 mg,0.00 g,17.466 mg,,0.078 g,0.246 g,1.332 mg,,0.044 g,0.082 g,0.000 g,0.011 g,0.246 g,0.000 g,0.358 mg,0.000 g,0.000 g,0.146 g,64.00 mg,26.00 mg,0.068 g,431.00 mg,0.419 g,3.99 g,0.041 mg,0.345 g,3.1 mcg,0.195 g,100 g,10.00 mg,,,0.02 g,2.17 g,0.000 g,0.000 g,0.009 g,0.000 g,0.00 mg,0.022 mg,0.136 g,2.32 mg,0.00 mg,0.26 mg,10.44 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,0.000 g,0.000 g,0.049 g,0.136 g,,0.224 g,295.00 IU,15.00 mcg,0.00 mcg,0.158 mg,3.8 mg,0.00 IU,,,2.32 mg,31.2 mcg,10.58 g,1.83 mg
"Spices, ground, ginger",,,0.272 g,0.0 g,0.708 g,5.22 g,1.387 g,,3.4 mg,0.000 g,0.00 mg,114.00 mg,335,,71.62 g,0.00 mcg,18.00 mcg,0.00 mg,41.2 mg,0.223 g,0.000 g,0.000 g,,,0.357 g,0.480 mg,0.00 mcg,0.099 g,1.560 g,2.4 mcg,0.000 g,0.000 g,0.000 g,,0.037 g,,,0.068 g,0.000 g,,,0.000 g,0.000 g,0.000 g,0.000 g,4.24 g,0.000 g,0.000 g,,14.1 g,,13.00 mcg,0.00 mcg,1.78 g,0.19 g,1.22 g,0.790 g,0.497 g,0.000 g,0.016 g,0.574 g,0.036 g,0.027 g,0.199 g,0.000 g,,19.80 mg,0.341 g,0.00 g,0.513 g,0.00 mcg,0.00 mcg,0.241 g,214.00 mg,0.00 g,33.300 mg,,0.089 g,0.479 g,9.620 mg,,0.706 g,0.227 g,0.000 g,0.223 g,0.357 g,0.000 g,0.477 mg,0.000 g,0.000 g,0.311 g,168.00 mg,83.00 mg,0.929 g,1320.00 mg,0.334 g,8.98 g,0.170 mg,2.599 g,55.8 mcg,0.250 g,100 g,27.00 mg,,,0.20 g,3.39 g,0.000 g,0.000 g,0.044 g,0.032 g,0.00 mg,0.046 mg,0.289 g,0.00 mg,0.00 mg,0.00 mg,3.01 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,0.000 g,0.000 g,0.152 g,0.243 g,,0.411 g,30.00 IU,2.00 mcg,0.00 mcg,0.626 mg,0.7 mg,0.00 IU,,,0.00 mg,0.8 mcg,9.94 g,3.64 mg
"Spices, ground, nutmeg",,,,0.0 g,,2.34 g,,,,0.000 g,0.00 mg,184.00 mg,525,,49.29 g,0.00 mcg,28.00 mcg,0.00 mg,8.8 mg,,,,,,,1.027 mg,66.00 mcg,,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.370 g,,,,,0.000 g,0.000 g,0.000 g,36.31 g,,,,20.8 g,,76.00 mcg,0.00 mcg,,,,,,,,2.260 g,1.400 g,0.000 g,,,,3.04 mg,,,,0.00 mcg,0.00 mcg,,183.00 mg,,2.900 mg,,,3.220 g,1.299 mg,,0.350 g,0.170 g,0.000 g,0.000 g,1.590 g,0.000 g,,,,,213.00 mg,62.00 mg,0.350 g,350.00 mg,,5.84 g,0.057 mg,25.940 g,1.6 mcg,,100 g,16.00 mg,,,,2.99 g,,,22.830 g,,0.00 mg,0.346 mg,,0.00 mg,0.00 mg,0.00 mg,0.53 mg,,,,,,,,,,,,,,,102.00 IU,5.00 mcg,0.00 mcg,0.160 mg,3.0 mg,0.00 IU,,,0.00 mg,0.0 mcg,6.23 g,2.15 mg
Spinach souffle,,,0.323 g,0.0 g,0.366 g,2.52 g,0.627 g,,29.9 mg,0.314 g,0.00 mg,165.00 mg,172,,5.90 g,3.00 mcg,1493.00 mcg,118.00 mg,61.0 mg,,,,,,,0.059 mg,2.00 mcg,0.095 g,0.227 g,0.0 mcg,0.007 g,0.002 g,0.000 g,,0.001 g,,,0.224 g,,,,0.010 g,0.001 g,0.025 g,0.011 g,12.95 g,0.188 g,0.171 g,0.017 g,0.7 g,4.7 mcg,73.00 mcg,6.00 mcg,0.05 g,0.04 g,0.08 g,1.556 g,0.216 g,0.035 g,,2.890 g,0.215 g,0.189 g,0.229 g,,,1.19 mg,0.450 g,1.51 g,0.708 g,3249.00 mcg,0.00 mcg,0.558 g,30.00 mg,0.03 g,0.269 mg,0.3 mcg,0.207 g,3.021 g,0.479 mg,,0.467 g,1.225 g,0.000 g,0.111 g,2.793 g,0.116 g,0.438 mg,0.001 g,,0.406 g,139.00 mg,,0.610 g,231.00 mg,0.646 g,7.89 g,0.263 mg,6.091 g,11.1 mcg,0.467 g,100 g,566.00 mg,,,0.06 g,1.85 g,0.001 g,,0.858 g,0.001 g,0.00 mg,0.082 mg,0.308 g,0.93 mg,0.01 mg,0.00 mg,0.16 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,0.000 g,0.108 g,0.350 g,,0.505 g,2891.00 IU,244.00 mcg,0.40 mcg,0.098 mg,7.3 mg,31.00 IU,,0.8 mcg,0.93 mg,126.5 mcg,70.73 g,0.85 mg
"Spinach, raw",,,0.142 g,0.0 g,0.162 g,1.72 g,0.240 g,,102.6 mg,0.000 g,0.00 mg,99.00 mg,23,,3.63 g,0.00 mcg,5626.00 mcg,0.00 mg,19.3 mg,,,,,,,0.130 mg,0.00 mcg,0.035 g,0.000 g,,0.000 g,,0.000 g,,0.000 g,,,0.000 g,,,,,0.000 g,0.000 g,0.000 g,0.39 g,0.000 g,,,2.2 g,,194.00 mcg,0.00 mcg,0.15 g,0.10 g,0.11 g,0.343 g,0.134 g,,,0.049 g,0.005 g,0.000 g,0.064 g,,,2.71 mg,0.147 g,0.00 g,0.223 g,12198.00 mcg,0.00 mcg,0.174 g,79.00 mg,0.00 g,0.897 mg,,0.053 g,0.010 g,0.724 mg,,0.026 g,0.004 g,0.000 g,0.138 g,0.005 g,0.000 g,0.065 mg,,,0.129 g,49.00 mg,9.00 mg,0.165 g,558.00 mg,0.112 g,2.86 g,0.189 mg,0.063 g,1.0 mcg,0.104 g,100 g,79.00 mg,,,0.07 g,0.42 g,,,0.010 g,,0.00 mg,0.078 mg,0.122 g,2.03 mg,0.00 mg,0.00 mg,0.18 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.039 g,0.108 g,,0.161 g,9377.00 IU,469.00 mcg,0.00 mcg,0.195 mg,28.1 mg,0.00 IU,,,2.03 mg,482.9 mcg,91.40 g,0.53 mg
"Spinach, unprepared, chopped or leaf, frozen",,,0.218 g,0.0 g,0.481 g,1.43 g,0.429 g,,117.4 mg,0.000 g,0.00 mg,129.00 mg,29,,4.21 g,0.00 mcg,7035.00 mcg,0.00 mg,22.1 mg,,,,,,,0.144 mg,0.00 mcg,0.029 g,0.000 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,,,,0.000 g,0.000 g,0.000 g,0.000 g,0.57 g,0.000 g,,,2.9 g,,145.00 mcg,0.00 mcg,0.18 g,0.00 g,0.24 g,0.508 g,0.221 g,0.000 g,,0.041 g,0.000 g,0.000 g,0.049 g,,,1.89 mg,0.126 g,0.00 g,0.202 g,12651.00 mcg,0.00 mcg,0.251 g,75.00 mg,0.00 g,0.704 mg,,0.052 g,0.000 g,0.507 mg,,0.000 g,0.000 g,0.000 g,0.082 g,0.000 g,0.000 g,0.094 mg,0.000 g,,0.207 g,49.00 mg,,0.082 g,346.00 mg,0.198 g,3.63 g,0.224 mg,0.041 g,6.0 mcg,0.170 g,100 g,74.00 mg,0.00 g,,0.24 g,0.65 g,0.000 g,,0.000 g,0.000 g,0.00 mg,0.094 mg,0.217 g,2.90 mg,0.01 mg,0.00 mg,0.14 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.100 g,0.215 g,,0.178 g,11726.00 IU,586.00 mcg,0.00 mcg,0.172 mg,5.5 mg,0.00 IU,,,2.90 mg,372.0 mcg,90.17 g,0.56 mg
"Spinach, with salt, drained, boiled, cooked",,,0.147 g,0.0 g,0.168 g,1.81 g,0.250 g,,89.0 mg,,0.00 mg,136.00 mg,23,,3.75 g,0.00 mcg,6288.00 mcg,0.00 mg,19.7 mg,,,,,,,0.174 mg,0.00 mcg,0.035 g,,,,,,,,,,,,,,,,,,0.26 g,0.000 g,,,2.4 g,37.8 mcg,146.00 mcg,0.00 mcg,,,,0.357 g,0.140 g,,,0.033 g,0.003 g,,0.066 g,,,3.57 mg,0.152 g,,0.231 g,11308.00 mcg,0.00 mcg,0.182 g,87.00 mg,,0.935 mg,,0.055 g,0.006 g,0.490 mg,,0.017 g,0.003 g,,0.092 g,0.003 g,,0.145 mg,,,0.134 g,56.00 mg,,0.109 g,466.00 mg,0.116 g,2.97 g,0.236 mg,0.043 g,1.5 mcg,0.107 g,100 g,306.00 mg,,,,0.43 g,,,0.006 g,,0.00 mg,0.095 mg,0.127 g,2.08 mg,,,,,,,,,,,,,,0.040 g,0.113 g,,0.168 g,10481.00 IU,524.00 mcg,0.00 mcg,0.242 mg,9.8 mg,0.00 IU,,,2.08 mg,493.6 mcg,91.21 g,0.76 mg
"Spinach, with salt, drained, boiled, cooked, chopped or leaf, frozen",,,0.222 g,,0.489 g,1.39 g,0.436 g,,112.0 mg,0.000 g,0.00 mg,153.00 mg,34,,4.80 g,0.00 mcg,7237.00 mcg,0.00 mg,24.8 mg,,,,,,,0.161 mg,0.00 mcg,0.029 g,0.000 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,,,,0.000 g,0.000 g,0.000 g,0.000 g,0.87 g,0.000 g,,,3.7 g,,121.00 mcg,0.00 mcg,0.09 g,0.00 g,0.20 g,0.516 g,0.225 g,0.000 g,,0.036 g,0.000 g,0.000 g,0.049 g,,,1.96 mg,0.128 g,0.00 g,0.205 g,15690.00 mcg,0.00 mcg,0.256 g,82.00 mg,0.00 g,0.717 mg,,0.053 g,0.000 g,0.439 mg,,0.000 g,0.000 g,0.000 g,0.086 g,0.000 g,0.000 g,0.075 mg,0.000 g,,0.211 g,50.00 mg,,0.086 g,302.00 mg,0.201 g,4.01 g,0.176 mg,0.036 g,5.5 mcg,0.173 g,100 g,322.00 mg,0.00 g,,0.21 g,0.51 g,0.000 g,,0.000 g,0.000 g,0.00 mg,0.078 mg,0.220 g,3.54 mg,0.01 mg,0.00 mg,0.17 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.101 g,0.219 g,,0.181 g,12061.00 IU,603.00 mcg,0.00 mcg,0.136 mg,2.2 mg,0.00 IU,,,3.54 mg,540.7 mcg,88.94 g,0.49 mg
"Spinach, without salt, drained, boiled, cooked, chopped or leaf, frozen",,,0.222 g,0.0 g,0.489 g,1.39 g,0.436 g,,112.0 mg,0.000 g,0.00 mg,153.00 mg,34,,4.80 g,0.00 mcg,7237.00 mcg,0.00 mg,24.8 mg,,,,,,,0.161 mg,0.00 mcg,0.029 g,0.000 g,0.0 mcg,0.000 g,0.000 g,0.000 g,,0.000 g,,,0.000 g,,,,0.000 g,0.000 g,0.000 g,0.000 g,0.87 g,0.000 g,,,3.7 g,,121.00 mcg,0.00 mcg,0.09 g,0.00 g,0.20 g,0.516 g,0.225 g,0.000 g,,0.157 g,0.000 g,0.000 g,0.049 g,,,1.96 mg,0.128 g,0.00 g,0.205 g,15690.00 mcg,0.00 mcg,0.256 g,82.00 mg,0.00 g,0.717 mg,,0.053 g,0.000 g,0.439 mg,,0.000 g,0.000 g,0.000 g,0.371 g,0.000 g,0.000 g,0.075 mg,0.000 g,,0.211 g,50.00 mg,,0.371 g,302.00 mg,0.201 g,4.01 g,0.176 mg,0.157 g,5.5 mcg,0.173 g,100 g,97.00 mg,0.00 g,,0.21 g,0.51 g,0.000 g,,0.000 g,0.000 g,0.00 mg,0.078 mg,0.220 g,3.54 mg,0.01 mg,0.00 mg,0.17 mg,0.00 mg,0.00 mg,0.00 mg,0.00 mg,,,,,,,0.101 g,0.219 g,,0.181 g,12061.00 IU,603.00 mcg,0.00 mcg,0.136 mg,2.2 mg,0.00 IU,,,3.54 mg,540.7 mcg,88.94 g,0.49 mg
"Squash, canned, italian style, zucchini, summer",,,0.054 g,,0.043 g,1.40 g,0.125 g,,,,,17.00 mg,29,,6.85 g,,,0.00 mg,,,,,,,,0.098 mg,,0.011 g,,,,,,,,,,0.000 g,,,,,,,,0.11 g,0.000 g,,,,,30.00 mcg,0.00 mcg,,,,0.110 g,0.039 g,,,0.020 g,0.000 g,,0.022 g,,,0.68 mg,0.037 g,,0.060 g,,,0.057 g,14.00 mg,,0.240 mg,,0.015 g,0.008 g,0.528 mg,,0.017 g,0.002 g,,0.029 g,0.008 g,,0.274 mg,,,0.036 g,29.00 mg,,0.047 g,274.00 mg,0.032 g,1.03 g,0.040 mg,0.023 g,0.4 mcg,0.042 g,100 g,374.00 mg,,,,,,,0.000 g,,,0.042 mg,0.025 g,,,,,,,,,,,,,,,0.009 g,0.027 g,,0.046 g,539.00 IU,27.00 mcg,0.00 mcg,0.152 mg,2.3 mg,0.00 IU,,,,,90.61 g,0.26 mg
"Squash, raw, baby, zucchini",,,0.142 g,,0.115 g,1.05 g,0.332 g,,,,,21.00 mg,21,,3.11 g,,,0.00 mg,,,,,,,,0.097 mg,,0.029 g,,,,,,,,,,0.003 g,,,,,,,,0.40 g,0.000 g,,,1.1 g,,20.00 mcg,0.00 mcg,,,,0.291 g,0.103 g,,,0.071 g,0.003 g,,0.059 g,,,0.79 mg,0.098 g,,0.159 g,,,0.151 g,33.00 mg,,0.196 mg,,0.039 g,0.031 g,0.705 mg,,0.063 g,0.009 g,,0.106 g,0.029 g,,0.367 mg,,,0.096 g,93.00 mg,,0.169 g,459.00 mg,0.085 g,2.71 g,0.036 mg,0.083 g,0.3 mcg,0.111 g,100 g,3.00 mg,,,,,,,,,,0.042 mg,0.066 g,,,,,,,,,,,,,,,0.024 g,0.073 g,,0.123 g,490.00 IU,25.00 mcg,0.00 mcg,0.142 mg,34.1 mg,0.00 IU,,,,,92.73 g,0.83 mg
